uuid,Image_URL,Name,properties.permalink,Facet_IDs,Permalink,Image_ID,UUID,Entity_Type,properties.identifier.value,properties.image_id,LinkedIn_Link,properties.uuid,Short_Description,Stock_Exchange_Symbol,Rank_Org,Facebook_Link,Creation_Date,Location_Identifiers,Twitter_Link,Website_URL,Updated_Date,properties.entity_def_id,City,Region,Country,Continent,dwh_partitiondate
315e1e59-3784-ab73-9c4a-447d2616ae82,https://images.crunchbase.com/image/upload/t_cb-default-original/v1488420037/xyqlcefn45ijfegxxih8.png,SAP,sap,"['investor', 'company', 'rank']",sap,v1488420037/xyqlcefn45ijfegxxih8.png,315e1e59-3784-ab73-9c4a-447d2616ae82,organization,SAP,v1488420037/xyqlcefn45ijfegxxih8.png,https://www.linkedin.com/company/sap,315e1e59-3784-ab73-9c4a-447d2616ae82,"SAP provides enterprise application software to various industries, including consumer, discrete manufacturing, public services.",nyse,15.0,http://www.facebook.com/SAP,2008-03-15T05:55:52Z,"[{'permalink': 'walldorf-baden-wurttemberg', 'uuid': 'f61a5458-0622-97b2-bc92-8dd82fb5efdb', 'location_type': 'city', 'entity_def_id': 'location', 'value': 'Walldorf'}, {'permalink': 'baden-wurttemberg-germany', 'uuid': '635e079b-43d8-c89d-403a-7fbc14055f8b', 'location_type': 'region', 'entity_def_id': 'location', 'value': 'Baden-Wurttemberg'}, {'permalink': 'germany', 'uuid': '6085b4bf-b18a-1763-a04e-fdde3f6aba94', 'location_type': 'country', 'entity_def_id': 'location', 'value': 'Germany'}, {'permalink': 'europe', 'uuid': '6106f5dc-823e-5da8-40d7-51612c0b2c4e', 'location_type': 'continent', 'entity_def_id': 'location', 'value': 'Europe'}]",http://www.twitter.com/SAP,https://www.sap.com,2024-04-10T06:25:08Z,organization,Walldorf,Baden-Wurttemberg,Germany,Europe,2024-07-15 23:04:13.146814
8483fc50-b82d-5ffa-5f92-6c72ac4bdaff,https://images.crunchbase.com/image/upload/t_cb-default-original/mky0fkibqswnxfbvhk3i,Siemens,siemens,"['investor', 'company', 'rank']",siemens,mky0fkibqswnxfbvhk3i,8483fc50-b82d-5ffa-5f92-6c72ac4bdaff,organization,Siemens,mky0fkibqswnxfbvhk3i,https://www.linkedin.com/company/siemens,8483fc50-b82d-5ffa-5f92-6c72ac4bdaff,"Siemens is a technology company that offers cybersecurity, digital consulting, and business services.",etr,32.0,http://www.facebook.com/Siemens,2008-07-31T16:29:43Z,"[{'permalink': 'munich-bayern', 'uuid': '6469af1b-6dbf-1e9e-17d9-e4f39a86aa95', 'location_type': 'city', 'entity_def_id': 'location', 'value': 'Munich'}, {'permalink': 'bayern-germany', 'uuid': 'eec7d129-caca-eeae-1bd7-d8449e855904', 'location_type': 'region', 'entity_def_id': 'location', 'value': 'Bayern'}, {'permalink': 'germany', 'uuid': '6085b4bf-b18a-1763-a04e-fdde3f6aba94', 'location_type': 'country', 'entity_def_id': 'location', 'value': 'Germany'}, {'permalink': 'europe', 'uuid': '6106f5dc-823e-5da8-40d7-51612c0b2c4e', 'location_type': 'continent', 'entity_def_id': 'location', 'value': 'Europe'}]",http://twitter.com/Siemens,https://www.siemens.com,2023-04-17T04:46:38Z,organization,Munich,Bayern,Germany,Europe,2024-07-15 23:04:13.146814
f37b9f32-68df-4a07-a378-e1f5a4a71210,https://images.crunchbase.com/image/upload/t_cb-default-original/obusexcxuaxymclvfhpb,EWOR,ewor,"['investor', 'company', 'rank']",ewor,obusexcxuaxymclvfhpb,f37b9f32-68df-4a07-a378-e1f5a4a71210,organization,EWOR,obusexcxuaxymclvfhpb,https://www.linkedin.com/company/ewor/,f37b9f32-68df-4a07-a378-e1f5a4a71210,"EWOR is a place where the most extraordinary people find the education, network, and capital to solve the world’s biggest problems.",,56.0,,2023-05-15T11:02:46Z,"[{'permalink': 'berlin-berlin', 'uuid': 'e61662e5-c5c2-c4d9-2a31-d0e6d6453375', 'location_type': 'city', 'entity_def_id': 'location', 'value': 'Berlin'}, {'permalink': 'berlin-germany', 'uuid': 'dcc0539e-638a-fda2-0229-07d53b4e96a9', 'location_type': 'region', 'entity_def_id': 'location', 'value': 'Berlin'}, {'permalink': 'germany', 'uuid': '6085b4bf-b18a-1763-a04e-fdde3f6aba94', 'location_type': 'country', 'entity_def_id': 'location', 'value': 'Germany'}, {'permalink': 'europe', 'uuid': '6106f5dc-823e-5da8-40d7-51612c0b2c4e', 'location_type': 'continent', 'entity_def_id': 'location', 'value': 'Europe'}]",https://twitter.com/EWOR_official,https://ewor.com/,2024-06-28T15:26:35Z,organization,Berlin,Berlin,Germany,Europe,2024-07-15 23:04:13.146814
2ff50e4e-d7f8-45bb-88be-95596a6655ea,https://images.crunchbase.com/image/upload/t_cb-default-original/shmqjcmjtzgfor4bbqdf,Black Semiconductor,black-semiconductor,"['company', 'rank']",black-semiconductor,shmqjcmjtzgfor4bbqdf,2ff50e4e-d7f8-45bb-88be-95596a6655ea,organization,Black Semiconductor,shmqjcmjtzgfor4bbqdf,https://www.linkedin.com/company/black-semiconductor,2ff50e4e-d7f8-45bb-88be-95596a6655ea,Black Semiconductor manufacture microchips with integrated electronic-photonic circuits using graphene technology.,,113.0,,2022-10-13T04:02:47Z,"[{'permalink': 'aachen-nordrhein-westfalen', 'uuid': '8e08220a-f698-5f27-9afc-fc10c6857054', 'location_type': 'city', 'entity_def_id': 'location', 'value': 'Aachen'}, {'permalink': 'nordrhein-westfalen-germany', 'uuid': 'ceb06994-fd1b-5093-dc0e-95c8cf80915b', 'location_type': 'region', 'entity_def_id': 'location', 'value': 'Nordrhein-Westfalen'}, {'permalink': 'germany', 'uuid': '6085b4bf-b18a-1763-a04e-fdde3f6aba94', 'location_type': 'country', 'entity_def_id': 'location', 'value': 'Germany'}, {'permalink': 'europe', 'uuid': '6106f5dc-823e-5da8-40d7-51612c0b2c4e', 'location_type': 'continent', 'entity_def_id': 'location', 'value': 'Europe'}]",https://twitter.com/blacksemicon,https://blacksemiconductor.de,2024-06-25T17:42:31Z,organization,Aachen,Nordrhein-Westfalen,Germany,Europe,2024-07-15 23:04:13.146814
